Type,Place,Year,Foreign Number,Foreign Income,Local Number,Local Income
Museum,Independence Memorial Museum,2021,680.6666666666666,270066.6666666666,7587.666666666666,184096.66666666666
Museum,Kandy Museum,2021,191.55555555555554,52550.183333333334,7351.777777777777,233898.88888888888
Museum,Kandy National Museum,2021,1264.6666666666667,751000.0,10618.333333333332,505943.3333333333
Museum,Kataragama Museum,2021,60.888888888888886,78437.44444444444,7194.888888888889,276755.55555555556
Museum,Natural History Museum,2021,2125.666666666667,2345033.333333333,37596.66666666667,2024493.3333333333
Museum,Polonnaruwa Museum,2021,91.0,95933.33333333333,36026.666666666664,2520796.6666666665
Museum,Rathnapura National Museum,2021,40.666666666666664,23100.0,9490.333333333332,602051.6666666666
Other,Apegama,2021,895.0,628904.0,12547.0,827030.0
Wildlife Park,Angammedilla,2021,19820.666666666668,344.3333333333333,498.66666666666663,36174.0
Wildlife Park,Bar Reef - Kalpitiya,2021,64241.333333333336,2236347.0,5343.333333333333,1757532.6666666667
Wildlife Park,Bundala,2021,111625.33333333333,2850673.333333333,4390.333333333333,5476015.333333333
Wildlife Park,Eth Athuru Sevana,2021,3276960.6666666665,5270392.0,37489.333333333336,33350868.333333332
Wildlife Park,Galoya,2021,109104.66666666667,329917.0,4727.0,2327772.6666666665
Wildlife Park,Galways Land,2021,265263.3333333333,5063.666666666667,1126.3333333333333,472493.3333333333
Wildlife Park,Girithale,2021,0.0,0.0,0.0,0.0
Wildlife Park,Hikkaduwa,2021,401066.0,61104.333333333336,6651.0,698517.0
Wildlife Park,Horagolla,2021,143776.66666666666,9710.0,2227.0,93992.66666666667
Wildlife Park,Horton Plains,2021,10329288.0,34712426.66666667,77412.66666666667,86263589.0
Wildlife Park,Hurulu Eco Park,2021,48992.166666666664,63839065.166666664,25065.833333333332,2441073.0
Wildlife Park,Kalawewa,2021,6000.0,295.6666666666667,313.6666666666667,47535.0
Wildlife Park,Kaudulla,2021,2246678.6666666665,142366.33333333334,26813.0,128762561.0
Wildlife Park,Kumana,2021,1797173.3333333333,730626.6666666667,11978.333333333334,9675127.333333334
Wildlife Park,Kumana Bird Sanctuary,2021,11471.0,0.07,0.0,0.0
Wildlife Park,Lahugala,2021,144.0,45011.2,179.4,6636.0
Wildlife Park,Lunugamwehera,2021,189.0,349236.0,1857.0,83180.0
Wildlife Park,Maduruoya,2021,31150.666666666668,202896.3333333333,1312.3333333333333,448294.0
Wildlife Park,Minneriya,2021,1485983.3333333333,2762769.333333333,25096.666666666668,40262483.0
Wildlife Park,Mirissa,2021,556322.6666666667,50267705.0,22574.666666666668,55605347.0
Wildlife Park,Pigeon Island,2021,2626224.0,1433878.6666666665,21870.666666666668,22557557.666666668
Wildlife Park,Udawalawa,2021,4894271.333333333,96115489.33333334,75244.33333333333,244372043.0
Wildlife Park,Wasgomuwa,2021,173744.0,183205.6666666667,6756.333333333334,1922928.0
Wildlife Park,Wilpattu,2021,2446676.6666666665,13271185.0,29481.333333333332,67736562.0
Wildlife Park,Yala,2021,12728112.666666666,119761300.33333334,179077.33333333334,580272664.0
Zoological Garden,Dehiwala,2021,8651.0,24795711.333333336,625568.6666666667,99994800.0
Zoological Garden,Pinnawala,2021,38758.333333333336,145072562.0,213704.3333333333,33168323.333333332
Zoological Garden,Ridiyagama Safari Park,2021,1980.0,7281025.666666667,145193.33333333334,47968013.33333333
Botanical Garden,Avissawella,2022,230.33333333333331,479348.6666666666,179972.33333333334,19507333.333333332
Botanical Garden,Gampaha,2022,138.66666666666666,885666.6666666666,108960.33333333334,13477460.0
Botanical Garden,Ganewattha,2022,4.0,8666.666666666668,555.6666666666666,63700.0
Botanical Garden,Hakgala,2022,11750.0,28035066.666666668,436067.0,47803513.33333333
Botanical Garden,Mirijawila,2022,406.5,966700.0,53197.0,4701990.0
Botanical Garden,Mirijjawila Botanical Garden,2022,630.0,1466462.5,71475.25,6147280.0
Botanical Garden,Peradeniya,2022,170302.6666666667,357896813.3333333,771731.3333333333,85154020.0
Conservation Forest,Adahalena Ella (Galle),2022,0.0,0.0,0.0,0.0
Conservation Forest,Badagamuwa Ecological Zone,2022,0.0,0.0,0.0,0.0
Conservation Forest,Badulla,2022,0.0,0.0,0.0,0.0
Conservation Forest,Badulla Haputhale,2022,0.0,0.0,0.0,0.0
Conservation Forest,Dolukanda,2022,0.0,0.0,0.0,0.0
Conservation Forest,Ek Gal Oya,2022,0.0,0.0,0.0,0.0
Conservation Forest,Gal Oya,2022,0.0,0.0,0.0,0.0
Conservation Forest,Galwila Eco Park,2022,0.0,0.0,0.0,0.0
Conservation Forest,Geradigala,2022,0.0,0.0,0.0,0.0
